google_and_truth_bleu_score,google_and_truth_gleu_score
0.9529500947560268,0.961038961038961
1.0,1.0
0.9516433313522539,0.9719626168224299
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.933651069586263,0.9620253164556962
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8578928092681435,0.9230769230769231
1.0,1.0
0.9469051104650212,0.9629629629629629
1.0,1.0
1.0,1.0
0.9353695731020621,0.9629629629629629
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9653467555444785,0.9774436090225563
1.0,1.0
1.0,1.0
1.0,1.0
0.9427781070492712,0.967032967032967
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9694070404134132,0.9820359281437125
1.0,1.0
0.9534460356445505,0.972972972972973
1.0,1.0
0.9660854289024723,0.9801324503311258
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9581282631934457,0.975609756097561
1.0,1.0
1.0,1.0
1.0,1.0
0.9525618205602057,0.9724770642201835
0.9607590505097869,0.9770992366412213
1.0,1.0
1.0,1.0
0.9704907832745403,0.9826589595375722
1.0,1.0
0.9516433313522539,0.9719626168224299
1.0,1.0
1.0,1.0
1.0,1.0
0.9577952806172931,0.9704142011834319
0.9789435002605391,0.9875518672199171
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9756631177112198,0.9856459330143541
1.0,1.0
1.0,1.0
0.9660854289024723,0.9801324503311258
1.0,1.0
0.9370011451812967,0.963855421686747
0.9727436279095398,0.983957219251337
1.0,1.0
1.0,1.0
1.0,1.0
0.9704907832745403,0.9826589595375722
1.0,1.0
1.0,1.0
1.0,1.0
0.9061874434879645,0.9473684210526315
0.8394327083733336,0.9142857142857143
1.0,1.0
1.0,1.0
0.8656030552541708,0.926829268292683
0.9163140145331566,0.9473684210526315
1.0,1.0
0.9674122890261669,0.9808917197452229
0.951648768397617,0.96
1.0,1.0
1.0,1.0
0.9076141716697395,0.9367088607594937
1.0,1.0
1.0,1.0
1.0,1.0
0.7611606003349892,0.88
0.9559112197162899,0.9743589743589743
1.0,1.0
1.0,1.0
1.0,1.0
0.9551190479308641,0.9739130434782609
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9551190479308641,0.9739130434782609
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9625248317849852,0.9781021897810219
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9588185089507728,0.976
0.9651391201669045,0.9795918367346939
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9271746317040298,0.9538461538461539
1.0,1.0
0.9646458712936792,0.9793103448275862
0.9780175747763182,0.987012987012987
1.0,1.0
0.9095930632220222,0.9491525423728814
1.0,1.0
1.0,1.0
1.0,1.0
0.9718216827736128,0.9834254143646409
1.0,1.0
0.9353695731020621,0.9629629629629629
1.0,1.0
0.9427781070492712,0.967032967032967
0.9278982724420874,0.958904109589041
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9061874434879645,0.9473684210526315
0.9763538529329716,0.986046511627907
1.0,1.0
1.0,1.0
0.9669816961515574,0.9806451612903225
1.0,1.0
0.9651391201669045,0.9795918367346939
1.0,1.0
0.9492100120087933,0.9701492537313433
0.9475833735368083,0.9696969696969697
0.8739351325046805,0.9230769230769231
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9253742688467129,0.9484536082474226
0.9581282631934457,0.975609756097561
1.0,1.0
0.971500344915838,0.9832402234636871
1.0,1.0
0.9574144657807024,0.9752066115702479
1.0,1.0
0.9385522307631307,0.9647058823529412
0.9694070404134132,0.9820359281437125
1.0,1.0
1.0,1.0
0.9704907832745403,0.9826589595375722
1.0,1.0
1.0,1.0
1.0,1.0
0.9566758893610273,0.9747899159663865
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.951648768397617,0.96
0.9678317907712601,0.9811320754716981
1.0,1.0
0.9588185089507728,0.976
0.9184678024441792,0.9538461538461539
1.0,1.0
0.9414765094539738,0.9657142857142857
1.0,1.0
1.0,1.0
0.9559112197162899,0.9743589743589743
0.9799565852526811,0.9881422924901185
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9234732618882052,0.9565217391304348
0.8873133342926623,0.9354838709677419
1.0,1.0
1.0,1.0
0.9428161760377307,0.9664804469273743
1.0,1.0
1.0,1.0
0.9257518071011758,0.9577464788732394
1.0,1.0
1.0,1.0
0.9651391201669045,0.9795918367346939
0.9630705800262783,0.976
1.0,1.0
1.0,1.0
1.0,1.0
0.9378353695158735,0.9636363636363636
0.9534460356445505,0.972972972972973
1.0,1.0
0.9682406246501182,0.9813664596273292
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9551190479308641,0.9739130434782609
0.9452861848260063,0.968421052631579
1.0,1.0
1.0,1.0
0.971500344915838,0.9832402234636871
0.9646458712936792,0.9793103448275862
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.931838481115484,0.961038961038961
0.9345787966997318,0.9617834394904459
1.0,1.0
1.0,1.0
1.0,1.0
0.9694070404134132,0.9820359281437125
0.9582983561855744,0.9707602339181286
0.9299238452109287,0.96
1.0,1.0
1.0,1.0
1.0,1.0
0.9646458712936792,0.9793103448275862
0.9440602839389667,0.967741935483871
0.9658236104558002,0.9714285714285714
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8895260356363631,0.9387755102040817
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8787419089273848,0.9333333333333333
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8985396083419646,0.9433962264150944
0.9613658593861555,0.9774436090225563
1.0,1.0
1.0,1.0
0.9271746317040298,0.9538461538461539
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9674122890261669,0.9808917197452229
1.0,1.0
0.9453194398324472,0.9679144385026738
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9704907832745403,0.9826589595375722
0.9370520341487665,0.9631901840490797
0.9370011451812967,0.963855421686747
1.0,1.0
1.0,1.0
0.9785826525822038,0.9873417721518988
1.0,1.0
1.0,1.0
0.9211506631805882,0.9541984732824428
1.0,1.0
0.9813057074915894,0.988929889298893
1.0,1.0
0.9651391201669045,0.9795918367346939
0.8729435194251833,0.927710843373494
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9619961307704588,0.973568281938326
1.0,1.0
0.9559112197162899,0.9743589743589743
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9063570877245087,0.9459459459459459
0.9601328622880726,0.9767441860465116
0.9299238452109287,0.96
0.9577952806172931,0.9704142011834319
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9086821869140099,0.9467455621301775
1.0,1.0
0.9686391926502761,0.9815950920245399
0.9780175747763182,0.987012987012987
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.7611606003349892,0.88
1.0,1.0
1.0,1.0
0.9733254474339004,0.9842931937172775
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9278982724420874,0.958904109589041
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8895260356363631,0.9387755102040817
0.9278982724420874,0.958904109589041
1.0,1.0
0.9414356817218077,0.9662921348314607
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9749308025055269,0.9852216748768473
0.9588185089507728,0.976
0.9665395661812441,0.9803921568627451
1.0,1.0
1.0,1.0
1.0,1.0
0.9385522307631307,0.9647058823529412
0.9299238452109287,0.96
0.9345771961416373,0.959731543624161
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9886987508375231,0.9888268156424581
1.0,1.0
1.0,1.0
1.0,1.0
0.9496952283401919,0.970873786407767
1.0,1.0
1.0,1.0
1.0,1.0
0.9385522307631307,0.9647058823529412
1.0,1.0
1.0,1.0
0.9588185089507728,0.976
1.0,1.0
1.0,1.0
0.9651391201669045,0.9795918367346939
1.0,1.0
0.9607590505097869,0.9770992366412213
0.9024106997625612,0.9411764705882353
0.9727436279095398,0.983957219251337
1.0,1.0
0.8792036237320132,0.9302325581395349
1.0,1.0
1.0,1.0
0.9636162552773174,0.9787234042553191
1.0,1.0
0.9660854289024723,0.9801324503311258
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9385522307631307,0.9647058823529412
0.9697770291819574,0.9822485207100592
1.0,1.0
1.0,1.0
0.9379042798634869,0.9491525423728814
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9095930632220222,0.9491525423728814
1.0,1.0
1.0,1.0
1.0,1.0
0.9234732618882052,0.9565217391304348
0.931838481115484,0.961038961038961
1.0,1.0
0.9211506631805882,0.9541984732824428
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9414356817218077,0.9662921348314607
1.0,1.0
1.0,1.0
0.9136960580166528,0.9493670886075949
1.0,1.0
1.0,1.0
0.9574144657807024,0.9752066115702479
0.9708351611332822,0.9828571428571429
1.0,1.0
1.0,1.0
0.9525618205602057,0.9724770642201835
0.9601328622880726,0.9767441860465116
0.9425437476131634,0.96
1.0,1.0
1.0,1.0
0.9452861848260063,0.968421052631579
0.9641384561775734,0.9790209790209791
1.0,1.0
1.0,1.0
1.0,1.0
0.9754238144469,0.9855072463768116
1.0,1.0
0.9594863506034305,0.9763779527559056
0.8843865924896842,0.9361702127659575
1.0,1.0
0.8003203203844999,0.896551724137931
1.0,1.0
0.9797945634141093,0.9880478087649402
1.0,1.0
0.8578928092681435,0.9230769230769231
0.9607590505097869,0.9770992366412213
1.0,1.0
0.9299238452109287,0.96
0.9814444805292856,0.989010989010989
0.9167980576638141,0.9513513513513514
0.9674122890261669,0.9808917197452229
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.93624868551786,0.9627329192546584
1.0,1.0
0.9050990896061486,0.9354838709677419
0.9721358527750605,0.9836065573770492
0.9427781070492712,0.967032967032967
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9607590505097869,0.9770992366412213
1.0,1.0
