xmucc_and_truth_bleu_score,xmucc_and_truth_gleu_score
0.7870069290977474,0.8760330578512396
0.7629970316538972,0.8495575221238938
0.7751783411557251,0.8695652173913043
0.7739856757359669,0.861003861003861
0.7426709922040539,0.8450704225352113
0.9475833735368083,0.9696969696969697
0.8059755883684456,0.873015873015873
0.8148491239198069,0.8914027149321267
0.7746629754412454,0.8627450980392157
0.7986255895306563,0.8857142857142857
0.7007169126169795,0.8282208588957055
0.8058197650159615,0.8827586206896552
0.7788179329463931,0.8625592417061612
0.9168120446060029,0.9382716049382716
0.8377168839369266,0.9014084507042254
0.8762471114711564,0.9281437125748503
0.8966567355675298,0.9405940594059405
0.8584922885264843,0.92
0.7593987260865137,0.8476190476190476
0.7543567911033557,0.8524590163934426
0.6531420255892322,0.8085106382978723
0.7990174860929502,0.88
0.8234430342373942,0.8873239436619719
0.8479205088878512,0.9124087591240876
0.8274527465216155,0.8956521739130435
0.8490238395401885,0.906832298136646
0.9037088832473074,0.9419354838709677
0.8502081854834406,0.9136690647482014
0.8353846002251303,0.8843537414965986
0.8172526882899968,0.8951048951048951
0.9608899745085954,0.9704142011834319
0.7802493435316288,0.8571428571428571
0.744597504467932,0.8322981366459627
0.8496587472812905,0.9108910891089109
0.8927669144075703,0.9325153374233128
0.8909299677499114,0.926605504587156
1.0,1.0
0.7930768575826375,0.8702290076335878
0.9003931661077126,0.9327731092436975
0.9370520341487665,0.9631901840490797
0.776964477825365,0.8702702702702703
0.8323131222216373,0.8994413407821229
0.8221526694878242,0.8878923766816144
0.8191845874987149,0.8874458874458875
0.9061874434879645,0.9473684210526315
0.8149362898680016,0.891566265060241
0.6839329477103359,0.8301886792452831
0.8065601305840563,0.8758620689655172
0.83076542723949,0.8936170212765957
0.8171718345696369,0.8956521739130435
0.7107533863309006,0.8348623853211009
0.8438586898904835,0.9108910891089109
0.9223765517412051,0.9548872180451128
0.7330082982207125,0.8343949044585988
0.8843393072090611,0.9289940828402367
0.7275158963713698,0.8410596026490066
0.855914525167676,0.9174311926605505
0.8977956682093875,0.9402985074626866
0.8555057424578255,0.9069767441860465
0.8988081899317655,0.9411764705882353
0.889804587487893,0.9368421052631579
0.8214022833273786,0.8858447488584474
0.7552223063344864,0.8467153284671532
0.954297861697201,0.9734513274336283
1.0,1.0
0.9024106997625612,0.9411764705882353
0.9492177523638845,0.9645390070921985
0.8471555074296653,0.9073359073359073
0.8936545286485896,0.9312977099236641
0.882983588215262,0.9323308270676691
0.6880835192683855,0.8235294117647058
0.8606132043194882,0.9172413793103448
0.7309720532420536,0.8223350253807107
0.7306747647427666,0.839572192513369
0.9337105757245574,0.9612903225806452
0.8405850116083624,0.8995633187772926
0.8496587472812905,0.9108910891089109
0.8663486038585547,0.9203539823008849
0.8554759391270779,0.9080459770114943
0.9143894476059354,0.9504132231404959
0.7514900795145969,0.850828729281768
0.7405823116109438,0.837696335078534
0.8190448980802916,0.8938053097345132
0.8355387838391709,0.8992805755395683
0.8982968599133728,0.9387755102040817
0.9594863506034305,0.9763779527559056
0.7917942398870275,0.8679245283018868
0.8709513070956146,0.9246861924686193
0.7327721002446639,0.825136612021858
0.7699520359657409,0.8607594936708861
0.9625248317849852,0.9781021897810219
0.8106311788412058,0.88
0.846339948479589,0.9106382978723404
0.948817232064567,0.9577464788732394
0.8277780754213554,0.8947368421052632
0.9228001419526307,0.9547738693467337
0.8314717382493704,0.8940092165898618
0.8436119159832984,0.9052132701421801
0.913929750231161,0.9497206703910615
0.8661374260444662,0.9104477611940298
0.8076225816211354,0.8795811518324608
0.697756759594737,0.8301886792452831
0.6566979515753673,0.7733333333333333
0.7811895757488891,0.864406779661017
0.9022891955863493,0.9364161849710982
0.7141278985149025,0.8130841121495327
0.9026524839957814,0.9393939393939394
0.7240829937989693,0.8146341463414634
0.8446809535574579,0.9058823529411765
0.8997062131374307,0.9395973154362416
0.6805086629945954,0.7786259541984732
0.7839204411491599,0.8604651162790697
0.8746115219808837,0.9230769230769231
0.7885823152130059,0.8723404255319149
0.90013816800116,0.9308176100628931
0.9128953582819583,0.9495798319327731
0.9051733642729849,0.9409282700421941
0.750409948475935,0.8456375838926175
0.9636672180246069,0.9763779527559056
0.9656187881844999,0.9798657718120806
0.8170258733067174,0.896551724137931
0.9319190015203862,0.96
0.8612671612265025,0.9203539823008849
0.81605079518668,0.8884120171673819
0.8029442553780834,0.8791208791208791
0.7696080013489814,0.8629441624365483
0.8034114986192961,0.8787878787878788
0.6630593000434475,0.7938931297709924
0.7833083627013671,0.8695652173913043
0.9350761925543661,0.954954954954955
0.9140670821843312,0.9419354838709677
0.7706386489353605,0.8709677419354839
0.9000490803693754,0.9361702127659575
0.8302884152794545,0.8985507246376812
0.46924700641056,0.6666666666666666
0.7717495820801946,0.847457627118644
0.9185787352601704,0.952755905511811
0.8514019542132988,0.9052631578947369
0.925835397331693,0.9568345323741008
0.8403034716144353,0.9104477611940298
0.8702397637697912,0.9130434782608695
0.7912191790674737,0.8781725888324873
0.8694258894102808,0.922509225092251
0.8853422793873154,0.920863309352518
0.853768219186421,0.9152542372881356
0.836480532967754,0.9056603773584906
0.8680594608381199,0.9235668789808917
0.8344844486322807,0.9024390243902439
0.9725766308764144,0.9733333333333334
0.7868591671236612,0.8758620689655172
0.9129690331585695,0.9473684210526315
0.9320481916556579,0.9538461538461539
0.7865677263621014,0.8755186721991701
0.8587430247487149,0.9180327868852459
0.8341296848240028,0.8938053097345132
0.8314576217480809,0.9004524886877828
0.7651882981775256,0.8681318681318682
0.9709835434146469,0.971830985915493
0.7416556389114364,0.8524590163934426
0.7572842270772097,0.8521739130434782
0.8662347443961667,0.9230769230769231
0.8819755339468199,0.9325842696629213
0.8523934345991274,0.9095477386934674
0.6432134764562698,0.7837837837837838
0.784757484773875,0.8823529411764706
0.9529500947560268,0.961038961038961
0.8489547561252629,0.9057591623036649
0.913929750231161,0.9497206703910615
0.8791116082044841,0.9310344827586207
0.6968477660522486,0.8130841121495327
0.8936729774081392,0.9377593360995851
0.93542454590006,0.9622641509433962
0.9234732618882052,0.9565217391304348
0.7719173482994635,0.8363636363636363
0.7385617080677117,0.8271604938271605
0.8730507447735949,0.926829268292683
0.7947723948941346,0.8769230769230769
0.9149076084340104,0.9502762430939227
0.8408126719495261,0.9019607843137255
0.9127592114472297,0.9508196721311475
0.933651069586263,0.9620253164556962
0.8851881780860859,0.9230769230769231
0.8899040144633983,0.9358288770053476
0.9228001419526307,0.9547738693467337
0.8706167953375582,0.9230769230769231
0.7906753283147323,0.8780487804878049
0.6547330787553299,0.8023952095808383
0.831465894586358,0.8870056497175142
0.8739351325046805,0.9230769230769231
0.8413684023554261,0.912621359223301
0.8847859697984317,0.9333333333333333
