簡體字,正體字,非對稱簡繁字
在,['在'],False
宅,['宅'],False
托,"['托', '託']",True
圭,['圭'],False
安,['安'],False
收,['收'],False
圬,['圬'],False
寺,['寺'],False
早,['早'],False
圯,['圯'],False
尖,['尖'],False
旨,['旨'],False
夙,['夙'],False
屹,['屹'],False
旬,['旬'],False
多,['多'],False
州,['州'],False
旭,['旭'],False
夷,['夷'],False
帆,['帆'],False
曲,['曲'],False
夸,"['夸', '誇']",True
并,"['并', '並', '併']",True
曳,['曳'],False
妄,['妄'],False
年,['年'],False
有,['有'],False
奸,"['奸', '姦']",True
式,['式'],False
朽,['朽'],False
妃,['妃'],False
弛,['弛'],False
朴,"['朴', '樸']",True
好,['好'],False
忙,['忙'],False
朱,"['朱', '硃']",True
她,['她'],False
忖,['忖'],False
朵,['朵'],False
如,['如'],False
戎,['戎'],False
次,['次'],False
妁,['妁'],False
戌,['戌'],False
此,['此'],False
字,['字'],False
戍,['戍'],False
死,['死'],False
存,['存'],False
成,['成'],False
氖,['氖'],False
宇,['宇'],False
扣,"['扣', '釦']",True
汝,['汝'],False
守,['守'],False
扛,['扛'],False
汗,['汗'],False
污,['汙'],False
耳,['耳'],False
西,['西'],False
江,['江'],False
聿,['聿'],False
阡,['阡'],False
池,['池'],False
肉,['肉'],False
汐,['汐'],False
肋,['肋'],False
串,['串'],False
汕,['汕'],False
肌,['肌'],False
亨,['亨'],False
灰,['灰'],False
臣,['臣'],False
位,['位'],False
牟,['牟'],False
自,['自'],False
住,['住'],False
牝,['牝'],False
至,['至'],False
伫,['佇'],False
百,['百'],False
臼,['臼'],False
佗,['佗'],False
竹,['竹'],False
舌,['舌'],False
佞,['佞'],False
米,['米'],False
舛,['舛'],False
伴,['伴'],False
糸,['糸'],False
舟,['舟'],False
佛,"['佛', '彿']",True
缶,['缶'],False
艮,['艮'],False
何,['何'],False
羊,['羊'],False
色,['色'],False
估,['估'],False
羽,['羽'],False
艾,['艾'],False
佐,['佐'],False
老,['老'],False
虫,"['虫', '蟲']",True
佑,['佑'],False
考,['考'],False
血,['血'],False
伽,['伽'],False
而,['而'],False
行,['行'],False
伺,['伺'],False
耒,['耒'],False
衣,['衣'],False
伸,['伸'],False
佃,['佃'],False
别,"['別', '彆']",True
呆,['呆'],False
判,['判'],False
呃,['呃'],False
似,['似'],False
利,['利'],False
吴,['吳'],False
但,['但'],False
删,['刪'],False
呈,['呈'],False
佣,"['佣', '傭']",True
刨,"['刨', '鉋']",True
吕,['呂'],False
作,['作'],False
劫,['劫'],False
君,['君'],False
你,['你'],False
助,['助'],False
吩,['吩'],False
伯,['伯'],False
努,['努'],False
告,['告'],False
